ACCNUM,ObjectId,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY
1292879,8688,Driver,45 to 49,1,NULL,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1292879,8689,Pedestrian,25 to 29,4,NULL,West,Other,NULL,NULL,NULL,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Inattentive,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1285462,8691,Driver,30 to 34,1,NULL,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL
1285462,8692,Driver,40 to 44,4,NULL,East,"Automobile, Station Wagon",Stopped,Following too Close,Inattentive,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL
1284881,8693,Motorcycle Driver,25 to 29,4,NULL,West,Motorcycle,Going Ahead,Exceeding Speed Limit,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL
1284881,8694,Driver,75 to 79,1,NULL,West,"Automobile, Station Wagon",Turning Right,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL
1293088,8695,Vehicle Owner,unknown,NULL,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL
1293088,8696,Motorcycle Driver,25 to 29,4,NULL,East,Motorcycle,Going Ahead,Speed too Fast For Condition,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL
1293088,8697,Driver,55 to 59,1,NULL,East,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL
1284915,8698,Vehicle Owner,unknown,NULL,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL
1284915,8699,Passenger,65 to 69,4,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL
1284915,8700,Driver,65 to 69,3,NULL,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL
1284915,8701,Vehicle Owner,unknown,NULL,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL
1284915,8702,Driver,25 to 29,1,NULL,East,"Automobile, Station Wagon",Turning Left,Improper Turn,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL
1293779,8715,Vehicle Owner,unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1285099,8703,Pedestrian,85 to 89,4,NULL,East,Other,NULL,NULL,NULL,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Inattentive,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL
1285099,8704,Driver,50 to 54,1,NULL,East,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Inattentive,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL
1285114,8705,Vehicle Owner,unknown,NULL,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1285114,8706,Driver,55 to 59,1,NULL,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1285114,8707,Cyclist,20 to 24,4,NULL,South,Bicycle,Going Ahead,NULL,NULL,NULL,NULL,NULL,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Disobeyed Traffic Control,Inattentive,NULL,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1293387,8708,Driver,65 to 69,4,NULL,East,"Automobile, Station Wagon",Going Ahead,Speed too Fast For Condition,Inattentive,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL
1293387,8709,Driver,35 to 39,1,NULL,East,"Automobile, Station Wagon",Disabled,Other,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL
1285342,8710,Driver,55 to 59,1,NULL,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1285342,8711,Pedestrian,75 to 79,2,9,East,Other,NULL,NULL,NULL,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Normal,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1293487,8712,Vehicle Owner,unknown,NULL,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1293487,8713,Driver,50 to 54,1,NULL,West,Municipal Transit Bus (TTC),Going Ahead,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1293487,8714,Pedestrian,50 to 54,4,NULL,NULL,Other,NULL,NULL,NULL,Pedestrian involved in a collision with transit vehicle anywhere along roadway,Person Getting on/off Vehicle,"Ability Impaired, Alcohol",NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1293779,8716,Truck Driver,45 to 49,4,NULL,North,Truck-Tractor,Turning Left,Improper Turn,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1293779,8717,Driver,40 to 44,3,NULL,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1293779,8718,Other,unknown,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1294734,8719,Driver,20 to 24,3,NULL,West,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Inattentive,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL
1294734,8720,Vehicle Owner,unknown,NULL,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL
902826,892,Cyclist,30 to 34,4,NULL,North,Bicycle,Going Ahead,NULL,NULL,NULL,NULL,NULL,Cyclist struck opened vehicle door,Driving Properly,Normal,NULL,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
900756,893,Vehicle Owner,unknown,NULL,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL
900756,894,Driver,65 to 69,1,NULL,South,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Inattentive,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL
904105,902,Passenger,35 to 39,3,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL
900756,895,Pedestrian,70 to 74,2,NULL,North,Other,NULL,NULL,NULL,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Normal,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL
904912,896,Driver,30 to 34,1,NULL,South,"Automobile, Station Wagon",Turning Left,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,Yes,NULL,NULL
904912,897,Passenger,20 to 24,4,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,Yes,NULL,NULL
904912,898,Driver,15 to 19,1,NULL,North,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Inattentive,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,Yes,NULL,NULL
904107,899,Driver,40 to 44,4,NULL,North,"Automobile, Station Wagon",Going Ahead,Other,Medical or Physical Disability,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes
904107,900,Other Property Owner,unknown,1,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes
904105,901,Passenger,35 to 39,4,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL
904105,903,Driver,40 to 44,3,NULL,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL
904105,904,Driver,30 to 34,5,NULL,North,"Automobile, Station Wagon",Going Ahead,Improper Lane Change,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL
904367,905,Passenger,15 to 19,4,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL
904367,906,Driver,15 to 19,5,NULL,South,"Automobile, Station Wagon",Going Ahead,Following too Close,Fatigue,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL
904367,907,Passenger,15 to 19,5,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL
904367,908,Driver,50 to 54,5,NULL,South,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL
904251,909,Driver,30 to 34,1,NULL,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
904251,910,In-Line Skater,30 to 34,4,NULL,West,Other,NULL,NULL,NULL,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Unknown,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
901141,911,Passenger,65 to 69,3,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes
919684,912,Driver,45 to 49,1,NULL,West,"Automobile, Station Wagon",Turning Left,Improper Turn,Normal,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL
919684,913,Passenger,40 to 44,5,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL
919684,914,Driver,40 to 44,5,NULL,North,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL
919684,915,Vehicle Owner,unknown,1,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL
920690,945,Motorcycle Driver,30 to 34,2,NULL,West,Motorcycle,Going Ahead,Lost control,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
919684,916,Driver,20 to 24,3,NULL,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL
919684,917,Vehicle Owner,unknown,1,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL
919684,918,Driver,35 to 39,1,NULL,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL
919684,919,Pedestrian,70 to 74,4,NULL,NULL,Other,NULL,NULL,NULL,Pedestrian hit on sidewalk or shoulder,On Sidewalk or Shoulder,Normal,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL
920271,920,Driver,unknown,1,NULL,West,"Automobile, Station Wagon",Changing Lanes,Failed to Yield Right of Way,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL
920271,921,Passenger,40 to 44,4,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL
920271,922,Vehicle Owner,unknown,1,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL
920271,923,Driver,50 to 54,5,NULL,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL
923640,924,Vehicle Owner,unknown,1,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes
923640,925,Vehicle Owner,unknown,1,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes
923640,926,Driver,50 to 54,1,NULL,East,"Automobile, Station Wagon",Turning Left,Lost control,Medical or Physical Disability,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes
923640,927,Vehicle Owner,unknown,1,NULL,North,Other,Parked,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes
923640,928,Pedestrian,30 to 34,4,NULL,NULL,Other,NULL,NULL,NULL,Pedestrian hit at mid-block,Other,Normal,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes
925640,936,Driver,55 to 59,1,NULL,East,Delivery Van,Stopped,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL
923655,929,Driver,15 to 19,4,NULL,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,Yes,Yes,NULL,Yes,NULL
923655,930,Vehicle Owner,unknown,1,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,Yes,Yes,NULL,Yes,NULL
923655,931,Driver,45 to 49,1,NULL,North,"Automobile, Station Wagon",Going Ahead,Failed to Yield Right of Way,"Ability Impaired, Alcohol Over .08",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,Yes,Yes,NULL,Yes,NULL
920395,932,Driver,unknown,1,NULL,South,"Automobile, Station Wagon",Going Ahead,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
920395,933,Pedestrian,unknown,4,NULL,NULL,Other,Other,NULL,NULL,Unknown,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
925640,934,Motorcycle Driver,30 to 34,4,NULL,East,Motorcycle,Going Ahead,Speed too Fast For Condition,Inattentive,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL
925640,935,Vehicle Owner,unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL
920502,938,Driver,60 to 64,2,NULL,West,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL
920502,939,Driver,20 to 24,5,NULL,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL
924041,940,Driver,30 to 34,1,NULL,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
924041,941,Pedestrian,0 to 4,4,NULL,West,Other,NULL,NULL,NULL,Pedestrian hit at mid-block,Running onto Roadway,Inattentive,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
924064,942,Driver,55 to 59,1,NULL,East,"Automobile, Station Wagon",Slowing or Stopping,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
924064,943,Pedestrian,85 to 89,4,NULL,North,Other,NULL,NULL,NULL,Vehicle hits the pedestrian walking or running out from between parked vehicles at mid-block,"Crossing, no Traffic Control",Unknown,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
921084,946,Pedestrian,75 to 79,4,NULL,East,Other,NULL,NULL,NULL,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Inattentive,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
921084,947,Driver,45 to 49,1,NULL,South,"Automobile, Station Wagon",Going Ahead,Other,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
926117,948,Motorcycle Driver,35 to 39,4,NULL,West,Motorcycle,Going Ahead,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
926117,949,Driver,55 to 59,1,NULL,East,"Automobile, Station Wagon",Turning Left,Improper Turn,Inattentive,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
925202,950,Driver,40 to 44,1,NULL,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
925202,951,Pedestrian,60 to 64,4,NULL,East,Other,NULL,NULL,NULL,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Unknown,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
926125,952,Motorcycle Driver,15 to 19,4,NULL,West,Motorcycle,Going Ahead,Driving Properly,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL
926125,953,Driver,45 to 49,1,NULL,West,"Automobile, Station Wagon",Pulling Away from Shoulder or Curb,Failed to Yield Right of Way,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL
925966,954,Driver,25 to 29,1,NULL,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
925966,955,Cyclist,30 to 34,4,NULL,East,Bicycle,Going Ahead,NULL,NULL,NULL,NULL,NULL,"Motorist without ROW drives into path of cyclist at inter, lnwy, dwy-Driver not turn.",Failed to Yield Right of Way,Normal,NULL,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
925968,956,Driver,30 to 34,1,NULL,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
925968,957,Pedestrian,65 to 69,4,NULL,North,Other,NULL,NULL,NULL,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Normal,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
946225,958,Driver,80 to 84,1,NULL,East,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL
946225,959,Motorcycle Driver,20 to 24,4,NULL,West,Motorcycle,Going Ahead,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL
925963,960,Driver,55 to 59,1,NULL,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
925963,961,Cyclist,15 to 19,4,NULL,West,Bicycle,Going Ahead,NULL,NULL,NULL,NULL,NULL,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Disobeyed Traffic Control,Normal,NULL,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
921907,962,Passenger,unknown,5,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,Yes,Yes,NULL,NULL,NULL
921907,963,Passenger,unknown,5,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,Yes,Yes,NULL,NULL,NULL
922913,984,Passenger,35 to 39,5,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL
921907,964,Vehicle Owner,unknown,1,NULL,NULL,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,Yes,Yes,NULL,NULL,NULL
921907,965,Driver,30 to 34,4,NULL,East,"Automobile, Station Wagon",Going Ahead,Exceeding Speed Limit,Had Been Drinking,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,Yes,Yes,Yes,NULL,NULL,NULL
