ACCNUM,INVTYPE,INVAGE,INJURY_ID,VEHTYPE,SPEEDING,REDLIGHT,ALCOHOL,YEAR,DATE,TIME,HOUR,STREET1,STREET2,ROAD_CLASS_ID,LOCCOORD,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,Longitude,Latitude,Month,Day_of_Week
1149559,Driver,40 to 44,1.0,"Automobile, Station Wagon",,,,2010,2010-01-24,1741,17,CARLINGVIEW DR,DIXON RD,1.0,Intersection,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,-79.5955,43.6867,January,Sunday
1149753,Driver,25 to 29,1.0,"Automobile, Station Wagon",,,,2010,2010-01-25,1825,18,SYMINGTON AVE,DAVENPORT RD,3.0,Intersection,Traffic Signal,Clear,Dark,Wet,Fatal,Pedestrian Collisions,-79.4532,43.6707,January,Monday
1149839,Passenger,45 to 49,4.0,Other,Yes,,Yes,2009,2009-12-31,322,3,TWYN RIVERS DR,SHEPPARD AVE E,2.0,Mid-Block,No Control,Snow,Dark,Wet,Non-Fatal Injury,SMV Other,-79.1564,43.8116,December,Thursday
1149845,Vehicle Owner,unknown,,Other,,,,2009,2009-12-31,1947,19,WESTON RD,JANE ST,1.0,Intersection,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,-79.5008,43.6912,December,Thursday
1149846,Driver,25 to 29,1.0,"Automobile, Station Wagon",,,,2010,2010-01-01,350,3,SPADINA AVE,WILLCOCKS ST,1.0,Intersection,Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Sideswipe,-79.4013,43.6612,January,Friday
1150084,Driver,30 to 34,1.0,"Automobile, Station Wagon",,,,2010,2010-01-03,1250,12,MCCOWAN RD,ALTON TOWERS CRCL,1.0,Mid-Block,No Control,Snow,Daylight,Loose Snow,Non-Fatal Injury,Approaching,-79.2752,43.8255,January,Sunday
1150406,Vehicle Owner,unknown,,Other,,,,2010,2010-01-07,2108,21,DANFORTH Road,MACKINAC Cres,1.0,Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,-79.2444,43.7495,January,Thursday
1150609,Driver,60 to 64,1.0,"Automobile, Station Wagon",,,,2010,2010-01-29,1635,16,OLD KINGSTON RD,MANSE RD,2.0,Mid-Block,No Control,Clear,Dusk,Dry,Non-Fatal Injury,Rear End,-79.1805,43.7766,January,Friday
1150610,Driver,80 to 84,4.0,"Automobile, Station Wagon",,,,2010,2010-01-29,1636,16,OLD KINGSTON RD,MANSE RD,2.0,Mid-Block,No Control,Clear,Dusk,Dry,Non-Fatal Injury,Rear End,-79.1806,43.7765,January,Friday
1150809,Driver,unknown,1.0,"Automobile, Station Wagon",,,,2010,2010-01-30,1629,16,EUCLID AVE,BLOOR ST W,1.0,Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.4148,43.6643,January,Saturday
1150854,Pedestrian,50 to 54,3.0,Other,,,,2010,2010-01-06,257,2,665 LAWRENCE AVE W,,1.0,Mid-Block,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.4436,43.7162,January,Wednesday
1150954,Driver,30 to 34,1.0,"Automobile, Station Wagon",,,,2010,2010-01-08,302,3,UNIVERSITY Ave,DUNDAS St W,1.0,Intersection,No Control,Clear,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,-79.3882,43.6547,January,Friday
1151467,Truck Driver,35 to 39,1.0,Truck - Open,,,,2010,2010-01-10,933,9,SENTINEL Road,STILECROFT Driv,2.0,Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.4941,43.7504,January,Sunday
1151614,Passenger,20 to 24,4.0,Other,,,,2010,2010-01-12,1153,11,EGLINTON Aven E,CEDAR Driv,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.2155,43.7439,January,Tuesday
1151934,Vehicle Owner,unknown,,Other,,,,2010,2010-01-12,1401,14,JANE Stre,HARDING Aven,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.5028,43.6995,January,Tuesday
1152152,Driver,50 to 54,5.0,"Automobile, Station Wagon",Yes,,,2010,2010-01-14,2150,21,DON MILLS RD,SHEPPARD AVE E,1.0,Intersection,Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Angle,-79.3469,43.7751,January,Thursday
1152191,Vehicle Owner,unknown,,Other,,,,2010,2010-01-14,1743,17,PASSMORE AVE,SILVER STAR BLVD,2.0,Intersection,Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,-79.298,43.8199,January,Thursday
1152788,Vehicle Owner,unknown,,Other,,,,2010,2010-02-12,2303,23,ADDINGTON AVE,SHEPPARD AVE W,1.0,Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.4245,43.7584,February,Friday
1152926,Vehicle Owner,unknown,,Other,,,,2010,2010-02-13,144,1,BLOOR ST W,LAUREL AVE,1.0,Intersection,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Angle,-79.5514,43.6381,February,Saturday
1153073,Vehicle Owner,unknown,,Other,,,,2010,2010-02-15,9,0,LAWRENCE AVE E,PHARMACY AVE,1.0,Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Turning Movement,-79.3045,43.7432,February,Monday
1153216,Driver,unknown,1.0,"Automobile, Station Wagon",,,,2010,2010-01-25,1845,18,GRACEDALE BLVD,FINCH AVE W,1.0,Intersection,No Control,Clear,Dusk,Wet,Non-Fatal Injury,Pedestrian Collisions,-79.5587,43.7485,January,Monday
1153227,Cyclist,20 to 24,4.0,Bicycle,,,,2020,2020-06-23,611,6,LAWRENCE AVE W,DUPLEX AVE,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,-79.4055,43.7243,June,Tuesday
1153339,Pedestrian,60 to 64,4.0,Other,,Yes,,2010,2010-02-17,833,8,BAYVIEW AVE,EGLINTON AVE E,1.0,Intersection,Traffic Signal,Snow,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,-79.3771,43.711,February,Wednesday
1153473,Vehicle Owner,unknown,,Other,Yes,,,2010,2010-02-18,18,0,PHARMACY AVE,ST BEDES RD,3.0,Intersection,No Control,Clear,Dark,Wet,Fatal,SMV Other,-79.2886,43.7046,February,Thursday
1153514,Driver,75 to 79,4.0,"Automobile, Station Wagon",,,,2010,2010-02-18,1108,11,JETHRO RD,MINNIE AVE,4.0,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,-79.5212,43.7235,February,Thursday
1153608,Driver,30 to 34,3.0,"Automobile, Station Wagon",,,,2020,2020-06-23,752,7,COLLEGE ST,DUFFERIN ST,3.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,-79.4325,43.6524,June,Tuesday
1153821,Pedestrian,70 to 74,4.0,Other,,,,2010,2010-02-04,1546,15,SHEPPARD AVE W,LAURA RD,1.0,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.5144,43.739,February,Thursday
1154258,Driver,25 to 29,4.0,"Automobile, Station Wagon",,,,2010,2010-01-15,1810,18,DIXON RD,ST PHILLIPS RD,1.0,Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Turning Movement,-79.5342,43.6998,January,Friday
1154355,Driver,45 to 49,1.0,"Automobile, Station Wagon",,,,2009,2009-06-02,820,8,MANOR RD E,MOUNT PLEASANT RD,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,-79.3885,43.7042,June,Tuesday
1154795,Pedestrian,50 to 54,4.0,Other,,,,2010,2010-02-27,2320,23,THE QUEENSWAY,HIGH ST,1.0,Mid-Block,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.482,43.6308,February,Saturday
1154990,Other,unknown,1.0,Other,Yes,,,2010,2010-02-28,2300,23,VILLIERS ST,MUNITION ST,4.0,Mid-Block,No Control,Clear,Dark,Dry,Fatal,SMV Unattended Vehicle,-79.3498,43.6485,February,Sunday
1155029,Driver,55 to 59,1.0,"Automobile, Station Wagon",,,,2010,2010-02-10,1522,15,DAVENPORT RD,PERTH AVE,3.0,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Sideswipe,-79.4544,43.6705,February,Wednesday
1155324,Driver,75 to 79,4.0,"Automobile, Station Wagon",,,,2010,2010-01-22,1520,15,BATHGATE DR,FEAGAN DR,4.0,Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,-79.1509,43.7794,January,Friday
1155407,Vehicle Owner,unknown,,Other,,,,2010,2010-03-02,1605,16,HORNER AVE,EDILOU DR,3.0,Intersection,No Control,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,-79.5313,43.6047,March,Tuesday
1155645,Driver,30 to 34,3.0,"Automobile, Station Wagon",,Yes,,2010,2010-01-24,2031,20,MCCOWAN RD,SANDHURST CRCL,1.0,Intersection,Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Angle,-79.2691,43.8116,January,Sunday
1155651,Vehicle Owner,unknown,,Other,,,,2010,2010-01-24,242,2,COLLEGE ST,BORDEN ST,1.0,Intersection,Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,-79.4053,43.6569,January,Sunday
1155683,Driver,45 to 49,1.0,"Automobile, Station Wagon",,,,2010,2010-01-23,834,8,SHEPPARD AVE W,ARLETA AVE,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.5014,43.7414,January,Saturday
1155869,Motorcycle Driver,20 to 24,4.0,Motorcycle,,,,2010,2010-03-04,1308,13,SHEPPARD Ave E,BROWNSPRING Rd,1.0,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,-79.2624,43.7888,March,Thursday
1155951,Driver,40 to 44,4.0,"Automobile, Station Wagon",,,,2010,2010-01-27,1030,10,DVP S EASTERN AV W RAMP S,EASTERN DIVERSION AVE E,6.0,Mid-Block,No Control,Snow,Daylight,Packed Snow,Non-Fatal Injury,SMV Other,-79.3534,43.6567,January,Wednesday
1156323,Driver,40 to 44,4.0,"Automobile, Station Wagon",Yes,,,2010,2010-01-19,115,1,QUEENS PARK CRES E,ST JOSEPH ST,1.0,Mid-Block,No Control,Clear,Dark,Wet,Non-Fatal Injury,SMV Other,-79.3915,43.6657,January,Tuesday
1156458,Vehicle Owner,unknown,,Other,,,,2010,2010-03-08,1353,13,YONGE ST,MAITLAND ST,1.0,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.3841,43.6638,March,Monday
1156513,Driver,20 to 24,1.0,"Automobile, Station Wagon",,,,2010,2010-01-28,1541,15,SECORD AVE,EASTDALE AVE,2.0,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.3,43.6931,January,Thursday
1156744,Vehicle Owner,unknown,,Other,,,,2010,2010-03-09,1504,15,STEELES AVE W,GIHON SPRING DR,1.0,Mid-Block,No Control,Clear,Daylight,Dry,Fatal,Approaching,-79.5952,43.7595,March,Tuesday
1156841,Driver,70 to 74,1.0,"Automobile, Station Wagon",,,,2010,2010-01-31,1620,16,25 THE WEST MALL,,3.0,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.5614,43.6107,January,Sunday
1157271,Other,unknown,1.0,Other,,,,2010,2010-02-04,1848,18,O CONNOR Driv,BEECHWOOD Cres,3.0,Mid-Block,No Control,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,-79.3544,43.6923,February,Thursday
1157272,Passenger,45 to 49,3.0,Other,Yes,,,2010,2010-03-12,523,5,ROYAL DR,DON VALLEY PARKWAY  N,,Mid-Block,No Control,Clear,Dark,Dry,Fatal,SMV Other,-79.3587,43.6727,March,Friday
1157528,Passenger,20 to 24,4.0,Other,Yes,,,2010,2010-02-06,2020,20,HILLBORN AVE,SYMES RD,4.0,Mid-Block,No Control,Clear,Dark,Dry,Non-Fatal Injury,SMV Unattended Vehicle,-79.4808,43.6745,February,Saturday
1157556,Driver,55 to 59,1.0,Other,,,,2010,2010-02-03,1915,19,BATHURST Stre,VAUGHAN Road,1.0,Intersection,No Control,Other,Dark,Other,Non-Fatal Injury,Pedestrian Collisions,-79.4174,43.681,February,Wednesday
1157957,Driver,45 to 49,1.0,"Automobile, Station Wagon",,,,2010,2010-02-08,1942,19,QUEEN Stre W,BATHURST Stre,1.0,Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.4039,43.6471,February,Monday
1158000,Vehicle Owner,unknown,,Other,,,,2010,2010-03-17,955,9,FAYWOOD Boul,BAINBRIDGE Aven,2.0,Intersection,Pedestrian Crossover,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.4496,43.748,March,Wednesday
1158031,Driver,80 to 84,4.0,"Automobile, Station Wagon",,,,2010,2010-03-17,1546,15,LAWRENCE AVE E,WEST HILL DR,3.0,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Unattended Vehicle,-79.1787,43.77,March,Wednesday
1158263,Vehicle Owner,unknown,,Other,,,,2010,2010-02-11,1305,13,BLOOR Stre W,GRACE Stre,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.4188,43.6634,February,Thursday
1158315,Passenger,10 to 14,1.0,Other,,,,2010,2010-03-19,400,4,DON VALLEY PARKWAY  N,LEASIDE BDGE,1.0,Mid-Block,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.3493,43.6978,March,Friday
1158316,Passenger,40 to 44,1.0,Other,,,,2010,2010-03-19,402,4,DON VALLEY PARKWAY  N,LEASIDE BDGE,1.0,Mid-Block,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.3496,43.698,March,Friday
1158873,Vehicle Owner,unknown,,Other,,,,2010,2010-03-24,0,0,SHEPPARD Aven E,TWYN RIVERS Driv,3.0,Mid-Block,No Control,Clear,Dark,Wet,Non-Fatal Injury,SMV Other,-79.1676,43.809,March,Wednesday
1158874,Vehicle Owner,unknown,,Other,,,,2010,2010-03-24,42,0,GERRARD ST E,DON VALLEY PARKWAY Stre S,3.0,Mid-Block,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.3558,43.6646,March,Wednesday
1159036,Vehicle Owner,unknown,,Other,,,,2010,2010-03-24,1720,17,DON VALLEY PARKWAY  N,EGLINTON Aven E,,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,-79.3301,43.7236,March,Wednesday
1159418,Driver,15 to 19,5.0,"Automobile, Station Wagon",,,,2010,2010-02-20,1625,16,STEELES Aven E,BIRCHMOUNT Road,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,-79.3168,43.8213,February,Saturday
1160348,Driver,50 to 54,5.0,"Automobile, Station Wagon",,,,2010,2010-02-24,1605,16,LAKE SHORE Boul W,JAMESON Aven,1.0,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,-79.4343,43.632,February,Wednesday
1160642,Driver,35 to 39,1.0,"Automobile, Station Wagon",,,,2010,2010-04-04,1620,16,LAWRENCE AVE E,CROCKFORD BLVD,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Approaching,-79.2912,43.746,April,Sunday
1160766,Passenger,5 to 9,4.0,Other,Yes,,Yes,2010,2010-04-03,159,1,ALBION Rd,HIGHWAY 27  N,1.0,Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Rear End,-79.6074,43.7442,April,Saturday
1160789,Driver,30 to 34,4.0,"Automobile, Station Wagon",Yes,,Yes,2010,2010-02-27,515,5,FINCH Aven W,EDITHVALE Driv,1.0,Intersection,Traffic Signal,Snow,Dark,Slush,Non-Fatal Injury,SMV Other,-79.427,43.7772,February,Saturday
1161050,Driver,50 to 54,1.0,"Automobile, Station Wagon",,,Yes,2010,2010-03-01,2004,20,QUEEN Stre E,LOCKWOOD Road,3.0,Mid-Block,No Control,Clear,Dark,Dry,Non-Fatal Injury,Rear End,-79.3086,43.668,March,Monday
1161062,Passenger,40 to 44,5.0,Other,,Yes,,2010,2010-03-01,746,7,WOODBINE Aven,KINGSTON Road,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,-79.3078,43.6739,March,Monday
1161157,Driver,40 to 44,1.0,"Automobile, Station Wagon",,,,2010,2010-04-07,1545,15,DUNDAS St W,BLOOR St W,3.0,Mid-Block,No Control,Rain,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,-79.452,43.6551,April,Wednesday
1161266,Vehicle Owner,unknown,,Other,,,,2010,2010-03-01,1700,17,KINGSTON RD,SHEPPARD AVE E,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,-79.1462,43.7989,March,Monday
1161474,Driver,20 to 24,1.0,"Automobile, Station Wagon",,,,2010,2010-03-05,2210,22,DUFFERIN Stre,EGLINTON Aven W,1.0,Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.4502,43.6956,March,Friday
1161585,Driver,55 to 59,1.0,"Automobile, Station Wagon",,,,2010,2010-03-08,733,7,MILNER Aven,MCCOWAN Road,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.2564,43.7853,March,Monday
1161689,Driver,45 to 49,1.0,Street Car,,,,2020,2020-06-24,1130,11,ST CLAIR AVE W,OLD WESTON RD,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.463,43.6734,June,Wednesday
1161998,Driver,50 to 54,1.0,"Automobile, Station Wagon",,,,2010,2010-03-12,1937,19,MARKHAM Rd,BRIMORTON Dr,1.0,Intersection,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,-79.2306,43.7734,March,Friday
1162012,Driver,40 to 44,4.0,"Automobile, Station Wagon",,Yes,,2010,2010-04-13,559,5,STEELES AVE E,BIRCHMOUNT RD,1.0,Intersection,Traffic Signal,Clear,Dawn,Dry,Fatal,Angle,-79.3168,43.8213,April,Tuesday
1162426,Driver,55 to 59,5.0,"Automobile, Station Wagon",,,,2010,2010-04-09,1500,15,MARTIN GROVE RD,BETHRIDGE RD,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,-79.5781,43.7075,April,Friday
1162482,Passenger,15 to 19,4.0,Other,,,,2010,2010-04-14,2358,23,DON VALLEY PARKWAY  N,LAWRENCE AVE E,,Mid-Block,No Control,Clear,Dark,Dry,Non-Fatal Injury,Other,-79.332,43.7402,April,Wednesday
1162587,Driver,50 to 54,5.0,"Automobile, Station Wagon",,,,2010,2010-03-16,838,8,FINCH Aven E,BRIDLETOWNE Circ,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.3122,43.7974,March,Tuesday
1162641,Driver,40 to 44,1.0,Pick Up Truck,,,,2020,2020-06-24,1357,13,KEELE ST,WEST TORONTO ST,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.4664,43.6699,June,Wednesday
1162673,Driver,55 to 59,4.0,"Automobile, Station Wagon",,,,2010,2010-03-15,2030,20,BURNHAMTHORPE RD,MARTIN GROVE RD,1.0,Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Turning Movement,-79.5489,43.6488,March,Monday
1163084,Driver,35 to 39,1.0,Municipal Transit Bus (TTC),,,,2010,2010-04-16,1643,16,LAKE SHORE BLVD W,BUDAPEST LANE,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.4476,43.637,April,Friday
1163175,Vehicle Owner,unknown,,Other,,,,2010,2010-04-18,1059,10,BATHURST ST,DANBY AVE,1.0,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.4368,43.7491,April,Sunday
1163368,Driver,20 to 24,4.0,"Automobile, Station Wagon",,,,2010,2010-04-15,805,8,CARLINGVIEW Driv,INTERNATIONAL Boul,3.0,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,-79.5905,43.6758,April,Thursday
1163442,Driver,75 to 79,1.0,"Automobile, Station Wagon",,,,2010,2010-03-21,845,8,ROYAL YORK Road,NEWCASTLE Stre,3.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.4988,43.6174,March,Sunday
1163512,Driver,45 to 49,1.0,"Automobile, Station Wagon",,,,2010,2010-03-22,2000,20,CARLINGVIEW Driv,DIXON Road,1.0,Intersection,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,-79.5955,43.6867,March,Monday
1163538,Driver,unknown,1.0,"Automobile, Station Wagon",,,,2010,2010-03-23,2000,20,RICHVIEW Road,SCARLETT Road,1.0,Intersection,Stop Sign,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,-79.5124,43.6855,March,Tuesday
1163874,Driver,25 to 29,1.0,"Automobile, Station Wagon",,,,2010,2010-03-27,2039,20,QUEEN Stre E,SACKVILLE Stre,1.0,Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.3614,43.6562,March,Saturday
1163934,Passenger,25 to 29,4.0,Other,Yes,,Yes,2010,2010-04-22,21,0,1181 FINCH AVE W,,1.0,Mid-Block,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,-79.4828,43.7652,April,Thursday
1164773,Driver,35 to 39,1.0,"Automobile, Station Wagon",,,,2010,2010-04-07,1455,14,2559 BLOOR St W,,1.0,Intersection,No Control,Rain,Daylight,Wet,Non-Fatal Injury,Rear End,-79.4907,43.648,April,Wednesday
1164945,Passenger,25 to 29,1.0,Other,,,,2010,2010-04-27,52,0,SPADINA Aven,BALDWIN Stre,1.0,Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.3987,43.6548,April,Tuesday
1165188,Vehicle Owner,unknown,,Other,,,,2010,2010-04-10,1635,16,DUNDAS St W,YONGE St,1.0,Intersection,Streetcar (Stop for),Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.3808,43.6563,April,Saturday
1165190,Driver,60 to 64,1.0,"Automobile, Station Wagon",,,,2010,2010-04-10,929,9,QUEEN Stre E,BEECH Aven,3.0,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.2879,43.6725,April,Saturday
1165384,Vehicle Owner,unknown,,Other,,,,2010,2010-04-12,1455,14,UNIVERSITY Aven,PEARL Stre,1.0,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.3853,43.6485,April,Monday
1165411,Motorcycle Driver,50 to 54,4.0,Motorcycle,,,,2010,2010-04-28,630,6,F G GARDINER XY Expr E,DOWLING AVE,1.0,Mid-Block,No Control,Clear,Daylight,Spilled liquid,Non-Fatal Injury,Other,-79.4375,43.6341,April,Wednesday
1165628,Driver,55 to 59,4.0,"Automobile, Station Wagon",,Yes,,2010,2010-04-15,1619,16,RUNNYMEDE Rd,ST JOHNS Rd,3.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,-79.4813,43.6638,April,Thursday
1165679,Driver,60 to 64,1.0,"Automobile, Station Wagon",,,,2010,2010-04-29,916,9,SANDHURST CRCL,MCCOWAN RD,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,-79.2691,43.8116,April,Thursday
1165924,Driver,75 to 79,4.0,"Automobile, Station Wagon",,,,2010,2010-05-01,752,7,MAPLE LEAF DR,CIRILLO CRT,2.0,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,-79.4847,43.7135,May,Saturday
1166313,Vehicle Owner,unknown,,Other,,,,2010,2010-04-20,2030,20,EGLINTON Ave W,BLACKTHORN Ave,1.0,Mid-Block,No Control,Clear,Dark,Dry,Non-Fatal Injury,Rear End,-79.4665,43.6917,April,Tuesday
1167046,Passenger,30 to 34,5.0,Other,,,,2010,2010-04-25,2103,21,WILLOWDALE AVE,ELMWOOD AVE,3.0,Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Turning Movement,-79.4016,43.7688,April,Sunday
1167187,Driver,40 to 44,1.0,"Automobile, Station Wagon",,,,2010,2010-05-06,1630,16,WELLINGTON ST W,SIMCOE ST,3.0,Mid-Block,No Control,Clear,Daylight,Dry,Fatal,Angle,-79.3862,43.6458,May,Thursday
1167297,Driver,80 to 84,1.0,"Automobile, Station Wagon",Yes,,,2010,2010-04-24,2302,23,DUNDAS Stre W,COLLEGE Stre,3.0,Mid-Block,No Control,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,-79.4415,43.6503,April,Saturday
1167934,Driver,55 to 59,4.0,"Automobile, Station Wagon",,,,2010,2010-04-21,705,7,STEELES AVE E,NINTH LINE,3.0,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,-79.2258,43.8425,April,Wednesday
1168069,Driver,40 to 44,1.0,"Automobile, Station Wagon",,,,2010,2010-04-29,1720,17,ROGERS RD,KANE AVE,3.0,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Sideswipe,-79.4664,43.682,April,Thursday
1168213,Vehicle Owner,unknown,,Other,,,,2010,2010-05-12,1415,14,F G GARDINER XY Expr W,KIPLING AVE,,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Sideswipe,-79.5137,43.6203,May,Wednesday
1168396,Vehicle Owner,unknown,,Other,,,,2010,2010-05-13,1136,11,DUNDAS ST W,COLLEGE ST,3.0,Mid-Block,No Control,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,-79.4418,43.6504,May,Thursday
1168399,Pedestrian,55 to 59,4.0,Other,,,,2010,2010-05-11,2240,22,DUPONT ST,LANSDOWNE AVE,1.0,Intersection,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,-79.4464,43.6667,May,Tuesday
1168520,Driver,75 to 79,5.0,"Automobile, Station Wagon",,,,2010,2010-05-14,1312,13,EVANS AVE,CREMORNE AVE,3.0,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.5009,43.6208,May,Friday
1169356,Motorcycle Driver,20 to 24,4.0,Motorcycle,,,,2010,2010-05-20,2105,21,TWYN RIVERS DR,SHEPPARD AVE E,2.0,Mid-Block,No Control,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,-79.1627,43.81,May,Thursday
1169755,Passenger,80 to 84,4.0,Other,,,,2010,2010-04-26,1008,10,ELLESMERE Road,BRIMLEY Road,1.0,Intersection,Traffic Controller,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,-79.2612,43.77,April,Monday
1169790,Motorcycle Driver,50 to 54,2.0,Motorcycle,,,,2010,2010-05-25,1028,10,ORTON PARK RD,AMBOY RD,3.0,Mid-Block,No Control,Clear,Daylight,Dry,Fatal,Approaching,-79.207,43.7675,May,Tuesday
